Taxon_Clements,Taxon_BirdTree
Struthio camelus,Struthio camelus
Rhea americana,Rhea americana
Nothoprocta perdicaria,Nothoprocta perdicaria
Eudromia elegans,Eudromia elegans
Dromaius novaehollandiae,Dromaius novaehollandiae
Apteryx australis,Apteryx australis
Anser caerulescens,Chen caerulescens
Anser rossii,Chen rossii
Anser albifrons,Anser albifrons
Branta hutchinsii,Branta hutchinsii
Branta canadensis,Branta canadensis
Cygnus olor,Cygnus olor
Cygnus buccinator,Cygnus buccinator
Cygnus columbianus,Cygnus columbianus
Oressochen melanopterus,Chloephaga melanoptera
Alopochen aegyptiaca,Alopochen aegyptiaca
Aix sponsa,Aix sponsa
Spatula discors,Anas discors
Spatula cyanoptera,Anas cyanoptera
Spatula clypeata,Anas clypeata
Mareca strepera,Anas strepera
Mareca americana,Anas americana
Anas platyrhynchos,Anas platyrhynchos
Anas rubripes,Anas rubripes
Anas acuta,Anas acuta
Anas crecca,Anas crecca
Aythya valisineria,Aythya valisineria
Aythya americana,Aythya americana
Aythya ferina,Aythya ferina
Aythya collaris,Aythya collaris
Aythya fuligula,Aythya fuligula
Aythya marila,Aythya marila
Aythya affinis,Aythya affinis
Polysticta stelleri,Polysticta stelleri
Somateria spectabilis,Somateria spectabilis
Somateria mollissima,Somateria mollissima
Histrionicus histrionicus,Histrionicus histrionicus
Melanitta deglandi,Melanitta fusca
Bucephala albeola,Bucephala albeola
Bucephala clangula,Bucephala clangula
Bucephala islandica,Bucephala islandica
Lophodytes cucullatus,Lophodytes cucullatus
Mergus merganser,Mergus merganser
Mergus serrator,Mergus serrator
Oxyura leucocephala,Oxyura leucocephala
Ortalis poliocephala,Ortalis poliocephala
Penelopina nigra,Penelopina nigra
Mitu tuberosum,Mitu tuberosum
Oreortyx pictus,Oreortyx pictus
Colinus virginianus,Colinus virginianus
Callipepla californica,Callipepla californica
Callipepla gambelii,Callipepla gambelii
Pavo cristatus,Pavo cristatus
Alectoris chukar,Alectoris chukar
Tetraogallus himalayensis,Tetraogallus himalayensis
Pternistis erckelii,Francolinus erckelii
Francolinus francolinus,Francolinus francolinus
Ortygornis pondicerianus,Francolinus pondicerianus
Phasianus colchicus,Phasianus colchicus
Perdix perdix,Perdix perdix
Bonasa umbellus,Bonasa umbellus
Centrocercus urophasianus,Centrocercus urophasianus
Centrocercus minimus,Centrocercus minimus
Canachites canadensis,Dendragapus canadensis
Lagopus lagopus,Lagopus lagopus
Lagopus muta,Lagopus muta
Lagopus leucura,Lagopus leucura
Dendragapus obscurus,Dendragapus obscurus
Dendragapus fuliginosus,Dendragapus fuliginosus
Tympanuchus pallidicinctus,Tympanuchus pallidicinctus
Meleagris gallopavo,Meleagris gallopavo
Meleagris ocellata,Meleagris ocellata
Phoenicopterus roseus,Phoenicopterus roseus
Podiceps auritus,Podiceps auritus
Podiceps grisegena,Podiceps grisegena
Aechmophorus occidentalis,Aechmophorus occidentalis
Columba livia,Columba livia
Patagioenas fasciata,Patagioenas fasciata
Streptopelia decaocto,Streptopelia decaocto
Columbina passerina,Columbina passerina
Zenaida asiatica,Zenaida asiatica
Zenaida macroura,Zenaida macroura
Crotophaga major,Crotophaga major
Crotophaga sulcirostris,Crotophaga sulcirostris
Coccyzus americanus,Coccyzus americanus
Nyctidromus albicollis,Nyctidromus albicollis
Streptoprocne biscutata,Streptoprocne biscutata
Chaetura pelagica,Chaetura pelagica
Chaetura vauxi,Chaetura vauxi
Sappho sparganurus,Sappho sparganura
Metallura phoebe,Metallura phoebe
Heliodoxa rubinoides,Heliodoxa rubinoides
Lampornis clemenciae,Lampornis clemenciae
Calypte anna,Calypte anna
Selasphorus platycercus,Selasphorus platycercus
Trochilus polytmus,Trochilus polytmus
Opisthocomus hoazin,Opisthocomus hoazin
Rallus limicola,Rallus limicola
Fulica americana,Fulica americana
Aramus guarauna,Aramus guarauna
Antigone canadensis,Grus canadensis
Grus americana,Grus americana
Chionis albus,Chionis albus
Himantopus mexicanus,Himantopus mexicanus
Recurvirostra americana,Recurvirostra americana
Haematopus palliatus,Haematopus palliatus
Haematopus bachmani,Haematopus bachmani
Pluvialis squatarola,Pluvialis squatarola
Pluvialis fulva,Pluvialis fulva
Charadrius nivosus,Charadrius alexandrinus
Charadrius wilsonia,Charadrius wilsonia
Charadrius semipalmatus,Charadrius semipalmatus
Charadrius melodus,Charadrius melodus
